table_name,series_name,units,series_id
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use & Related Statistics : Delivered Energy Use, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_DEU_TOTD_NA_DEU_NA_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Biofuels Heat and Coproducts, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_BFH_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Coal-to-Liquids Heat and Power, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_CLH_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Coal Subtotal, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_COS_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Delivered Energy, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_DELE_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Distillate Fuel Oil, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_DFO_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : E85, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_E85_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Electricity, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_ELC_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Electricity Related Losses, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_ERL_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Hydrogen, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_HDG_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Jet Fuel, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_JFL_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Kerosene, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_KRS_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Liquid Fuels Subtotal, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_LFL_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Liquefied Petroleum Gases, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_LPG_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Liquefaction, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_LQFCT_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Lease and Plant Fuel, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_LSAPFL_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Motor Gasoline, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_MGS_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Metallurgical Coal, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_MTC_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Net Coal Coke Imports, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_NCC_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Natural Gas Subtotal, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_NGS_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Natural Gas, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_NG_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Natural-Gas-to-Liquids Heat and Power, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_NLP_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Other Coal, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_OCA_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Other Petroleum, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_ONP_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Petrochemical Feedstocks, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_PCF_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Pipeline Natural Gas, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_PPN_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Renewable Energy, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_REN_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Residual Fuel Oil, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_RFO_DELV_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Delivered : All Sectors : Total, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_ALLS_NA_TOT_NA_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Commercial : Coal, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_COMM_NA_CL_NA_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Commercial : Delivered Energy, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_COMM_NA_DELE_NA_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Commercial : Distillate Fuel Oil, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_COMM_NA_DFO_NA_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Commercial : Electricity, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_COMM_NA_ELC_NA_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Commercial : Electricity Related Losses, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_COMM_NA_ERL_NA_NA_QBTU.A
"Table 2.  Energy Consumption by Sector and Source (quadrillion Btu, unless otherwise noted), United States","Energy Use : Commercial : Kerosene, United States, Reference, AEO2022",quads,AEO.__year__.REF__year__.CNSM_ENU_COMM_NA_KRS_NA_NA_QBTU.A
